person_id,household_id,work_lat,work_lng,prev_work_lat,prev_work_lng,school_loc_lat,school_loc_lng
2120001001,21200010,,,,,,
2120001002,21200010,,,,,,
2120003301,21200033,,,,,,
2120005201,21200052,47.306,-122.231,,,,
2120005202,21200052,,,,,,
2120007001,21200070,,,,,,
2120009301,21200093,,,,,,
2120009302,21200093,,,,,,
2120009601,21200096,,,,,,
2120009602,21200096,,,,,,
2120011601,21200116,,,,,,
2120011602,21200116,,,,,,
2120013101,21200131,47.5132,-122.339,,,,
2120017101,21200171,,,,,,
2120020101,21200201,,,,,,
2120022101,21200221,,,,,,
2120022102,21200221,,,,,,
2120022103,21200221,47.4239,-122.462,,,,
2120022104,21200221,47.4457,-122.461,,,,
2120024001,21200240,,,,,,
2120024002,21200240,,,,,,
2120026601,21200266,,,,,,
2120026602,21200266,47.6279,-122.709,,,,
2120028901,21200289,,,,,,
2120030801,21200308,,,,,,
2120033401,21200334,47.5991,-122.331,,,,
2120033402,21200334,,,,,,
2120033403,21200334,,,,,47.14502,-122.1512
2120037701,21200377,47.603,-122.329,,,,
2120037702,21200377,,,,,,
2120037703,21200377,,,,,,
2120037704,21200377,,,,,47.32909,-122.18361
2120038301,21200383,,,,,,
2120040401,21200404,47.7006,-122.616,,,,
2120040402,21200404,,,,,,
2120040403,21200404,,,,,47.62832,-122.75446
2120045001,21200450,47.6285,-122.33,,,,
2120046001,21200460,47.5412,-122.338,,,,
2120046002,21200460,47.5412,-122.338,,,,
2120050101,21200501,,,,,,
2120050102,21200501,,,,,47.53042,-122.36623
2120053701,21200537,,,,,,
2120053702,21200537,,,,,,
2120053703,21200537,,,,,,
2120060401,21200604,47.6143,-122.302,,,,
2120060402,21200604,,,,,,
2120060403,21200604,,,,,47.62287,-122.28822
2120060901,21200609,,,,,,
2120060902,21200609,,,,,,
2120065101,21200651,47.6173,-122.305,,,,
2120065102,21200651,,,,,,
2120068901,21200689,,,,,47.6213,-122.32547
2120068902,21200689,,,,,47.58559,-122.14945
2120069901,21200699,,,,,,
2120070201,21200702,,,,,,
2120070202,21200702,,,,,,
2120071001,21200710,,,,,,
2120071002,21200710,,,,,,
2120077701,21200777,,,,,,
2120077702,21200777,,,,,,
2120077703,21200777,47.4999,-122.199,,,,
2120077704,21200777,,,,,,
2120080601,21200806,,,,,,
2120080602,21200806,,,,,,
2120081601,21200816,47.1913,-122.301,,,,
2120081602,21200816,,,,,,
2120084901,21200849,,,,,,
2120088901,21200889,,,,,,
2120088902,21200889,,,,,47.43803,-122.1571
2120091201,21200912,,,,,,
2120101201,21201012,47.6275,-122.33,,,,
2120101202,21201012,47.5507,-122.347,,,,
2120104901,21201049,,,,,,
2120104902,21201049,,,,,,
2120105701,21201057,,,,,,
2120107701,21201077,,,,,,
2120107702,21201077,,,,,,
2120107703,21201077,47.6244,-122.354,,,,
2120107704,21201077,,,,,,
2120122801,21201228,,,,,,
2120122802,21201228,,,,,,
2120122901,21201229,,,,,,
2120126201,21201262,47.6646,-122.312,,,,
2120126202,21201262,,,,,,
2120126203,21201262,,,,,,
2120129001,21201290,47.6191,-122.13,,,,
2120129002,21201290,,,,,,
2120129003,21201290,,,,,,
2120130401,21201304,,,,,,
2120130402,21201304,,,,,,
2120131901,21201319,,,,,,
2120131902,21201319,47.6116,-122.332,,,,
2120135701,21201357,,,,,,
2120135702,21201357,47.2487,-122.44,,,,
2120135703,21201357,,,,,,
2120144501,21201445,,,,,,
2120144502,21201445,,,,,,
2120146401,21201464,48.0806,-122.188,,,,
2120146402,21201464,,,,,,
2120146403,21201464,,,,,,
2120146404,21201464,,,,,,
2120146405,21201464,,,,,,
2120151001,21201510,47.5988,-122.335,,,,
2120151002,21201510,,,,,,
2120154401,21201544,,,,,,
2120154402,21201544,,,,,,
2120157301,21201573,,,,,,
2120159401,21201594,,,,,,
2120173701,21201737,,,,,,
2120173702,21201737,47.4999,-122.207,,,,
2120173703,21201737,,,,,,
2120185501,21201855,,,,,,
2120185502,21201855,,,,,,
2120189301,21201893,,,,,,
2120190501,21201905,47.3139,-122.31,,,,
2120190502,21201905,,,,,,
2120190503,21201905,,,,,,
2120192601,21201926,,,,,,
2120192602,21201926,47.762,-122.348,,,,
2120195201,21201952,,,,,,
2120195202,21201952,,,,,,
2120195203,21201952,,,,,47.65196,-122.70089
2120195204,21201952,,,,,47.65841,-122.66667
2120200001,21202000,47.6557,-122.314,,,,
2120200002,21202000,,,,,,
2120204201,21202042,47.5857,-122.35,,,,
2120204202,21202042,,,,,,
2120212301,21202123,47.6095,-122.326,,,,
2120212302,21202123,,,,,,
2120212303,21202123,,,,,,
2120216301,21202163,,,,,,
2120222301,21202223,,,,,,
2120222302,21202223,,,,,,
2120222701,21202227,47.7326,-122.258,,,,
2120224001,21202240,,,,,,
2120224601,21202246,47.7146,-122.337,,,,
2120224602,21202246,,,,,47.47832,-122.33204
2120224603,21202246,,,,,47.47832,-122.33204
2120231301,21202313,,,,,,
2120231501,21202315,,,,,,
2120231502,21202315,,,,,,
2120231801,21202318,47.5772,-122.387,,,,
2120239501,21202395,47.2454,-122.448,,,,
2120239601,21202396,,,,,,
2120239602,21202396,47.5798,-122.129,,,,
2120239603,21202396,,,,,47.64674,-122.03783
2120239604,21202396,,,,,,
2120241701,21202417,47.61,-122.334,,,,
2120241702,21202417,,,,,47.65993,-122.33988
2120241703,21202417,,,,,47.68026,-122.2628
2120247901,21202479,47.5835,-122.036,,,,
2120247902,21202479,47.6938,-122.033,,,,
2120255301,21202553,,,,,,
2120255302,21202553,,,,,,
2120255303,21202553,,,,,47.64674,-122.03783
2120255304,21202553,,,,,47.68258,-122.14583
2120261201,21202612,47.6276,-122.628,,,,
2120261202,21202612,,,,,47.56956,-122.64767
2120265201,21202652,,,,,,
2120265202,21202652,,,,,,
2120265203,21202652,,,,,,
2120271001,21202710,,,,,,
2120271002,21202710,,,,,,
2120279501,21202795,,,,,,
2120279502,21202795,,,,,,
2120279503,21202795,,,,,,
2120281101,21202811,,,,,,
2120288401,21202884,,,,,,
2120288601,21202886,47.4777,-122.299,,,,
2120292401,21202924,47.6746,-122.131,,,,
2120292402,21202924,,,,,,
2120300301,21203003,,,,,,
2120302201,21203022,47.5167,-122.628,,,,
2120302202,21203022,,,,,47.51577,-122.65359
2120302203,21203022,,,,,47.51577,-122.65359
2120311101,21203111,,,,,,
2120311102,21203111,,,,,,
2120311103,21203111,,,,,47.65665,-122.31293
2120311104,21203111,,,,,47.73506,-122.62524
2120315601,21203156,,,,,,
2120315602,21203156,,,,,,
2120315603,21203156,,,,,,
2120319401,21203194,,,,,,
2120319402,21203194,,,,,,
2120319403,21203194,,,,,,
2120322201,21203222,,,,,,
2120322202,21203222,,,,,,
2120326401,21203264,47.586,-122.303,,,,
2120326402,21203264,47.6214,-122.329,,,,
2120327401,21203274,,,,,,
2120327402,21203274,,,,,,
2120328101,21203281,47.3092,-122.589,,,,
2120328102,21203281,47.3032,-122.58,,,,
2120328103,21203281,,,,,47.3093,-122.67793
